,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Buterin,genesis,Anti-Flash White,Z9,Mare,https://img.zed.run/horses/F2F3F4.png,2021-07-09T15:47:37,Sneaky Flirt,42102,[],8,4.6,174,53,227,0.0,15,16,3.52,False
0,Buterin,genesis,Shadow Fighter,Z9,Mare,https://img.zed.run/horses/BFAFB2.png,2021-07-09T15:47:35,Master Of Irony,42104,[],17,5.03,318,20,338,5.0,25,35,5.03,False
0,Buterin,pacer,Caribbean Green,Z268,Colt,https://img.zed.run/horses/00CC99.png,2022-06-29T07:32:05,King Casen,435320,"[{'name': 'Z268 Midnight Black XV', 'nft_id': 401037}, {'name': 'Dashin Follies', 'nft_id': 109837}]",0,0.0,12,0,12,0.0,0,0,0.0,False
0,Buterin,pacer,Ghost White,Z268,Stallion,https://img.zed.run/horses/FFFFFF.png,2022-06-29T07:34:16,King Crew,435325,"[{'name': 'King Gerardo', 'nft_id': 416984}, {'name': 'Verry Elleegant II', 'nft_id': 132048}]",0,0.0,7,0,7,0.0,0,0,0.0,False
0,Buterin,pacer,Antique White,Z268,Filly,https://img.zed.run/horses/FAEBD7.png,2022-06-29T07:35:25,Queen Iliana,435326,"[{'name': 'Z268 White Smoke IV', 'nft_id': 382917}, {'name': 'Musical Harmony', 'nft_id': 147586}]",0,0.0,20,0,20,0.0,0,1,0.0,False
0,Buterin,pacer,White Smoke,Z268,Stallion,https://img.zed.run/horses/F5F5F5.png,2022-06-29T07:36:15,King Axl,435328,"[{'name': 'Z268 White Smoke IV', 'nft_id': 382917}, {'name': 'Broken Nak', 'nft_id': 185230}]",0,0.0,128,0,128,0.0,1,1,0.0,False
0,Finney,elite,Colombo Spice,Z17,Colt,https://img.zed.run/horses/FF3800.png,2022-06-29T08:04:28,Houston Starlet,435332,"[{'name': '100 to 1', 'nft_id': 409822}, {'name': 'Starlet Valley', 'nft_id': 408202}]",1,1.49,67,1,68,0.0,6,6,1.47,False
0,Szabo,elite,Cotton Candy,Z13,Mare,https://img.zed.run/horses/FFBCD9.png,2022-06-29T08:33:34,Phantom Edge,435338,"[{'name': 'Waste Of Talent', 'nft_id': 417295}, {'name': 'Phantom Regret', 'nft_id': 186290}]",6,1.78,281,50,331,2.0,24,56,1.81,False
0,Nakamoto,cross,Black Chocolate,Z9,Mare,https://img.zed.run/horses/1B1811.png,2022-06-29T08:45:45,Scamming Seattle,435339,"[{'name': 'Senseless Laundering', 'nft_id': 418944}, {'name': 'Seattle Sleuth', 'nft_id': 77165}]",8,10.77,65,10,75,10.0,7,5,10.67,False
0,Finney,elite,Amethyst,Z21,Colt,https://img.zed.run/horses/9966CC.png,2022-06-29T08:49:26,Stigmata of the Templar,435341,"[{'name': ""Gracie's Girl"", 'nft_id': 138413}, {'name': 'Paramount', 'nft_id': 35808}]",2,6.06,33,6,39,0.0,1,1,5.13,False
0,Nakamoto,exclusive,Big Dip O’Ruby,Z5,Mare,https://img.zed.run/horses/9C2542.png,2022-06-29T08:50:01,Ruby Fury,435342,"[{'name': 'The Moving Average', 'nft_id': 179603}, {'name': 'Storm Fury', 'nft_id': 146452}]",7,3.43,204,36,240,0.0,20,32,2.92,False
0,Buterin,pacer,Eminence,Z220,Mare,https://img.zed.run/horses/6C3082.png,2022-06-29T09:27:09,Viola Haystings,435345,"[{'name': 'Somo', 'nft_id': 419733}, {'name': 'Pacer Princess', 'nft_id': 381952}]",1,2.08,48,0,48,0.0,1,3,2.08,False
0,Finney,exclusive,Eminence,Z13,Colt,https://img.zed.run/horses/6C3082.png,2022-06-29T09:42:02,Savage Talk,435347,"[{'name': 'Savage Letter', 'nft_id': 419104}, {'name': 'Talk Crypto To Me', 'nft_id': 135010}]",4,3.33,120,4,124,0.0,10,12,3.23,False
0,Buterin,cross,Eminence,Z82,Colt,https://img.zed.run/horses/6C3082.png,2022-06-29T09:47:09,Passionfruit,435348,"[{'name': 'Hughie', 'nft_id': 419615}, {'name': 'Eponymous', 'nft_id': 419586}]",10,11.11,90,10,100,0.0,8,11,10.0,False
0,Nakamoto,exclusive,Cotton Candy,Z9,Colt,https://img.zed.run/horses/FFBCD9.png,2022-06-29T09:52:06,Fire Reef,435349,"[{'name': 'Reef Stinger', 'nft_id': 411578}, {'name': 'Fire Ember', 'nft_id': 13198}]",5,12.2,41,7,48,0.0,2,6,10.42,False
0,Buterin,exclusive,Taupe,Z27,Colt,https://img.zed.run/horses/715C56.png,2022-02-24T19:18:44,Sam Crow,304278,"[{'name': 'Chateau', 'nft_id': 167613}, {'name': 'Wild Charm', 'nft_id': 125992}]",14,8.97,145,17,162,5.88,13,11,8.64,False
0,Nakamoto,exclusive,Crimson Tide,Z5,Colt,https://img.zed.run/horses/DC143C.png,2022-06-29T09:59:57,Flaming Lamborghini,435350,"[{'name': 'Merwin', 'nft_id': 403625}, {'name': 'Rusko', 'nft_id': 154157}]",6,10.0,60,7,67,0.0,9,10,8.96,False
