,horse_id,time_sold,price
0,200381,457126,0.0012345
1,200381,457126,0.0012345
2,200381,457132,0.0012345
3,200381,457132,0.0012345
4,214601,457140,0.0123
5,215153,457140,0.0023
6,214600,457140,0.003
7,214603,457140,0.00334
8,193335,457140,0.003
9,196981,457162,0.00123
10,196981,457162,0.00123
11,214603,457162,0.04
12,207603,457162,0.008
13,295551,457163,0.019
14,118106,457179,0.25
15,147723,457180,0.425
16,11131,457181,2.5
17,216892,457183,0.018
18,313836,457187,0.008
19,36922,457201,0.5
20,190009,457202,0.039
21,20641,457205,0.27
22,15588,457207,0.145
23,1894,457215,3.49
24,124172,457222,0.008
25,120639,457225,0.022
26,210717,457225,0.095
27,313901,457226,0.008
28,214601,457227,0.06
29,176607,457228,0.039
30,168470,457229,0.015
31,120644,457229,0.039
32,180932,457229,0.013
33,189188,457229,0.0079
34,170312,457229,0.01
35,211210,457229,0.19
36,215161,457229,0.041
37,169360,457229,0.0069
38,169360,457229,0.008
39,21634,457230,0.031
40,169360,457230,0.0085
41,168532,457230,0.0125
42,324681,457230,0.025
43,169360,457230,0.009
44,168530,457230,0.0125
45,169360,457230,0.0089
46,214475,457230,0.01
47,172491,457230,0.018
48,195007,457230,0.011
49,145050,457232,0.14
50,210584,457232,0.069
51,196863,457232,0.02
52,301733,457232,0.14
53,81164,457232,0.3
54,298447,457233,0.25
55,322646,457233,0.1
56,151624,457233,0.09
57,314983,457233,0.09
58,316018,457233,0.022
59,143748,457234,0.075
60,319388,457234,0.1
61,317818,457234,0.015
62,177836,457235,0.0124
63,215155,457235,0.042
64,207215,457236,0.0066
65,185036,457236,0.0066
66,210688,457236,0.195
67,216330,457236,0.01
68,324105,457237,0.013
69,138109,457238,0.019
70,204149,457238,0.05
71,205992,457238,0.064
72,317947,457239,0.06
73,185271,457239,0.0095
74,140289,457239,0.0219
75,204148,457239,0.011
76,212890,457240,0.06
77,214437,457242,0.0225
78,215342,457243,0.35
79,316978,457243,0.012
80,151748,457243,0.029
81,324538,457243,0.05
82,213366,457244,0.15
83,215324,457244,0.023
84,213691,457245,0.018
85,180932,457245,0.02
86,210599,457245,0.025
87,183992,457246,0.014
88,169647,457246,0.023
89,169366,457246,0.00699
90,217873,457246,0.4
91,304728,457246,0.01
92,177703,457246,0.014
93,141172,457246,0.38
94,141173,457246,0.38
95,80852,457247,0.035
96,86961,457247,0.025
97,26477,457247,0.715
98,190264,457247,0.0149
99,205240,457247,0.094
100,80859,457248,0.035
101,215348,457248,0.012
102,213899,457248,0.025
103,163685,457248,0.36
104,201586,457248,0.02
105,214411,457249,0.02
106,114610,457249,0.025
107,207323,457249,0.00699
108,215571,457249,0.015
109,212696,457249,0.3
110,157247,457249,0.25
111,140628,457249,0.0134
112,327061,457249,0.09
113,11850,457250,0.145
114,194100,457250,0.024
115,207332,457250,0.00699
116,24445,457250,0.215
117,168273,457250,0.04
118,215182,457250,0.05
119,35373,457251,0.0175
120,214352,457251,0.0195
121,212688,457251,0.33
122,214738,457251,0.035
123,176036,457251,0.022
124,112410,457251,0.035
125,177604,457251,0.01244
126,321288,457252,0.012
127,126098,457252,0.17
128,108142,457252,0.49
129,155901,457252,0.1
130,330064,457252,0.03
131,181831,457252,0.06
132,6571,457252,0.065
133,212680,457252,0.35
134,203343,457252,0.049
135,329967,457253,0.0415
136,22430,457254,0.25
137,330151,457254,0.006
138,207100,457254,0.06
139,152698,457254,0.03
140,82982,457254,0.022
141,101452,457254,0.01244
142,29938,457255,0.25
143,142206,457255,0.1
144,319724,457255,0.015
145,206071,457255,0.02
146,130907,457255,0.245
147,213836,457256,0.424
148,215871,457256,0.0235
149,280741,457256,0.006
150,324687,457256,0.05
151,217410,457256,0.0369
152,303821,457256,0.0169
153,212987,457256,0.04
154,3407,457256,0.8
155,195163,457256,0.019
156,215085,457256,0.011
157,201614,457257,0.00794
158,96194,457257,0.018
159,88895,457257,0.018
160,180672,457257,0.25
161,209930,457257,0.01
162,327414,457257,0.015
163,141309,457257,0.01
164,216585,457257,0.007
165,184580,457257,0.011
166,191976,457257,0.01
167,190491,457257,0.025
168,317731,457258,0.015
169,194164,457258,0.008
170,136451,457258,0.01
171,125667,457258,0.0079
172,28334,457258,0.35
173,216388,457258,0.024
174,11850,457259,0.18
175,80023,457259,0.01049
176,213096,457259,0.028
177,8741,457259,0.19
178,324683,457259,0.035
179,73096,457260,0.00794
180,216716,457260,0.139
181,46042,457260,0.2
182,209832,457260,0.025
183,131026,457260,0.013
184,214517,457260,0.02
185,216147,457260,0.05
186,214659,457261,0.1
187,95593,457261,0.00794
188,175361,457261,0.00794
189,323248,457261,0.055
190,175487,457261,0.4
191,165609,457261,0.4
192,191172,457261,0.04
193,98509,457261,0.04
194,191171,457261,0.06
195,58732,457262,0.045
196,125743,457262,0.039
197,322291,457262,0.072
198,169050,457262,0.4
199,216469,457263,0.00794
200,154456,457263,0.0137
201,70032,457264,0.29
202,202503,457264,0.49
203,139503,457264,0.03
204,47316,457264,0.24
205,174480,457265,0.07
206,312893,457265,0.23
207,215390,457265,0.0064
208,217880,457267,0.05
209,90363,457267,0.199
210,190004,457267,0.0175
211,52087,457268,0.0194
212,39960,457268,0.0125
213,214211,457269,0.0064
214,189836,457269,0.03
215,25180,457269,1.1
216,12455,457269,0.36
217,46623,457270,0.2
218,295995,457270,0.0115
219,72367,457271,0.45
220,196537,457271,0.01049
