,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,1.69,0.0,15.25,0.000285,1.69,1,59,4,4,355430
0,6.06,0.0,18.18,0.000475,6.06,2,33,2,2,355436
0,5.33,0.0,19.25,0.008295,4.97,8,161,8,15,355437
0,3.7,0.0,18.84,0.006205,3.64,17,467,31,40,355438
0,0.0,0.0,20.0,0.00126,0.0,0,35,2,5,355439
0,3.23,0.0,6.45,0.00924,3.23,1,31,0,1,355440
0,5.66,0.0,28.24,0.0984048,3.53,3,85,8,13,486521
0,6.22,0.0,25.34,0.018048,5.88,13,221,15,28,93315
0,2.27,0.0,17.02,0.0,2.13,1,47,4,3,93318
0,0.0,0.0,6.25,0.0,0.0,0,16,0,1,486542
0,13.51,0.0,30.23,0.00949275,11.63,10,86,8,8,486562
0,15.38,0.0,31.43,0.022152,8.57,6,70,9,7,486568
0,7.69,0.0,23.08,0.0,7.69,1,13,1,1,486569
0,17.74,0.0,37.32,0.08967041,15.79,33,209,29,16,486577
0,14.71,0.0,32.0,0.024648,10.0,5,50,6,5,486585
0,4.35,0.0,23.91,0.03009161,4.35,2,46,5,4,486592
0,3.7,0.0,37.04,0.000785,3.7,1,27,5,4,355540
0,10.98,3.39,23.32,0.116298,8.97,20,223,19,13,355541
0,14.55,11.28,26.81,0.8248109,13.5,138,1022,87,49,355543
0,2.6,1.96,26.25,0.0911508,2.5,8,320,31,45,486618
0,4.55,0.0,29.58,0.006455,4.23,3,71,7,11,355549
0,7.14,3.7,39.76,0.04777185,6.02,5,83,9,19,486623
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,355552
0,3.67,0.0,20.54,0.000255,3.57,4,112,7,12,355555
0,15.46,15.84,30.16,3.8600369,15.71,188,1197,88,85,355561
0,4.41,3.23,17.17,0.067392,4.04,4,99,9,4,486633
0,10.43,0.0,26.89,0.0,10.08,12,119,11,9,355565
0,8.2,0.0,29.03,0.0,8.06,5,62,5,8,355571
0,5.7,0.0,24.35,0.014735,5.65,13,230,15,28,355572
0,8.0,0.0,19.3,0.001845,7.02,4,57,1,6,93429
0,6.47,0.0,24.44,0.0070498,6.11,11,180,16,17,355575
0,5.26,0.0,30.19,0.008125,3.77,2,53,8,6,355576
0,3.1,0.0,9.3,0.0045,3.1,4,129,4,4,486649
0,7.53,2.0,26.27,0.05165055,6.36,15,236,24,23,486653
0,4.04,0.0,17.54,0.0,3.51,4,114,5,11,355581
0,6.08,8.33,23.08,0.087156,6.35,19,299,28,22,486659
0,0.0,0.0,14.29,0.00385,0.0,0,14,1,1,355589
0,5.41,0.0,28.7,0.0454215,5.38,12,223,18,34,355590
0,6.41,0.0,20.87,0.013535,5.96,22,369,21,34,355592
0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,486666
0,11.3,9.09,28.47,0.026868,10.95,15,137,11,13,486671
0,11.58,12.77,27.42,0.123624,11.67,77,660,55,49,486674
0,0.0,0.0,15.38,0.0,0.0,0,26,2,2,486675
