,data.horse.bloodline,data.horse.breed_type,data.horse.breeding_counter,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.last_breeding_reset,data.horse.name,data.horse.nft_id,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.number_of_races,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate
0,Buterin,exclusive,3,Dark Byzantium,Z10,Stallion,https://img.zed.run/horses/5D3954.png,2021-11-26T20:32:39,2022-12-23T20:28:07Z,Scrunter S Thompson,154936,11,101,7,10,10.89
0,Nakamoto,exclusive,3,Fandango,Z5,Colt,https://img.zed.run/horses/B53389.png,2022-04-15T08:36:23,2022-12-23T08:31:54Z,Nakuza,393233,6,131,15,12,4.58
0,Finney,legendary,3,Air Superiority Blue,Z7,Stallion,https://img.zed.run/horses/72A0C1.png,2021-10-17T06:37:21,2023-01-08T06:30:43Z,Glorified Liberty,131092,5,65,7,8,7.69
0,Nakamoto,exclusive,3,Battle Horse Gray,Z6,Colt,https://img.zed.run/horses/848482.png,2021-10-17T06:37:43,2023-01-08T06:31:09Z,Glorified Ecstasy,131093,12,151,9,15,7.95
0,Buterin,elite,3,Eminence,Z16,Colt,https://img.zed.run/horses/6C3082.png,2022-04-15T08:51:24,2022-12-23T08:46:42Z,System America,393237,0,11,0,1,0.0
0,Nakamoto,genesis,1,Absolute Zero,Z1,Mare,https://img.zed.run/horses/0048BA.png,2019-01-31T03:49:18,2022-12-29T03:48:43Z,Troubled Paradise,27,225,1819,254,236,12.37
0,Buterin,exclusive,1,Feldgrau,Z28,Filly,https://img.zed.run/horses/4D5D53.png,2021-10-17T06:51:45,2023-01-08T06:45:07Z,Boron Metalloid,131100,0,10,0,0,0.0
0,Buterin,exclusive,1,Fawn,Z24,Filly,https://img.zed.run/horses/E5AA70.png,2021-10-17T06:53:12,2023-01-08T06:46:33Z,Be Water My Friend,131102,0,13,1,0,0.0
0,Buterin,exclusive,3,Dark Lava,Z27,Colt,https://img.zed.run/horses/483C32.png,2021-10-17T06:55:42,2023-01-08T06:49:05Z,Be Kind,131104,18,142,8,3,12.68
0,Buterin,elite,1,Electric Violet,Z42,Filly,https://img.zed.run/horses/8F00FF.png,2021-10-17T06:58:30,2023-01-08T06:51:55Z,Be Formless,131105,0,1,0,0,0.0
0,Buterin,exclusive,1,Golden Rod,Z20,Mare,https://img.zed.run/horses/EEE8AA.png,2022-04-15T09:52:00,2022-12-23T09:47:31Z,Tough Name,393248,16,107,7,13,14.95
0,Nakamoto,elite,1,Egyptian Blue,Z6,Mare,https://img.zed.run/horses/1034A6.png,2022-04-15T10:05:06,2022-12-23T10:00:35Z,Ats Us Nai,393260,17,156,11,12,10.9
