,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Buterin,elite,Banana Mania,Z23,Filly,https://img.zed.run/horses/FAE7B5.png,2022-04-15T08:19:30,Considerable Threat,393229,"[{'name': 'Wicked Wanderer', 'nft_id': 174247}, {'name': 'Sinfonia', 'nft_id': 102714}]",1,1.35,74,1,75,0.0,5,9,1.33,False
0,Nakamoto,exclusive,Fandango,Z5,Colt,https://img.zed.run/horses/B53389.png,2022-04-15T08:36:23,Nakuza,393233,"[{'name': 'Luchini', 'nft_id': 213835}, {'name': 'Clap Along', 'nft_id': 679}]",6,4.58,131,0,131,0.0,15,12,4.58,False
0,Finney,legendary,Air Superiority Blue,Z7,Stallion,https://img.zed.run/horses/72A0C1.png,2021-10-17T06:37:21,Glorified Liberty,131092,"[{'name': 'Liberty Rules', 'nft_id': 13935}, {'name': 'Glorified Existence', 'nft_id': 13115}]",5,7.69,65,0,65,0.0,7,8,7.69,False
0,Nakamoto,exclusive,Battle Horse Gray,Z6,Colt,https://img.zed.run/horses/848482.png,2021-10-17T06:37:43,Glorified Ecstasy,131093,"[{'name': 'Ecstasy Jelly', 'nft_id': 81807}, {'name': 'Glorified Existence', 'nft_id': 13115}]",12,7.87,127,24,151,8.33,9,15,7.95,False
0,Buterin,elite,Eminence,Z16,Colt,https://img.zed.run/horses/6C3082.png,2022-04-15T08:51:24,System America,393237,"[{'name': 'How To', 'nft_id': 184177}, {'name': 'Blackjack Princess', 'nft_id': 28590}]",0,0.0,11,0,11,0.0,0,1,0.0,False
0,Nakamoto,genesis,Absolute Zero,Z1,Mare,https://img.zed.run/horses/0048BA.png,2019-01-31T03:49:18,Troubled Paradise,27,[],226,18.61,736,1085,1821,8.2,254,237,12.41,False
0,Buterin,exclusive,Feldgrau,Z28,Filly,https://img.zed.run/horses/4D5D53.png,2021-10-17T06:51:45,Boron Metalloid,131100,"[{'name': 'Iced Caramel Macchiato', 'nft_id': 68973}, {'name': 'Call Me Spice', 'nft_id': 29545}]",0,0.0,10,0,10,0.0,0,0,0.0,False
0,Buterin,exclusive,Fawn,Z24,Filly,https://img.zed.run/horses/E5AA70.png,2021-10-17T06:53:12,Be Water My Friend,131102,"[{'name': 'Psamathe', 'nft_id': 52316}, {'name': 'Call Me Spice', 'nft_id': 29545}]",0,0.0,13,0,13,0.0,1,0,0.0,False
0,Buterin,exclusive,Dark Lava,Z27,Colt,https://img.zed.run/horses/483C32.png,2021-10-17T06:55:42,Be Kind,131104,"[{'name': 'Louise Hamilton', 'nft_id': 54408}, {'name': 'Call Me Spice', 'nft_id': 29545}]",18,12.77,141,1,142,0.0,8,3,12.68,False
0,Buterin,elite,Electric Violet,Z42,Filly,https://img.zed.run/horses/8F00FF.png,2021-10-17T06:58:30,Be Formless,131105,"[{'name': 'Greatest Story Ever Told', 'nft_id': 81312}, {'name': 'American Warmblood', 'nft_id': 77450}]",0,0.0,1,0,1,0.0,0,0,0.0,False
0,Buterin,exclusive,Golden Rod,Z20,Mare,https://img.zed.run/horses/EEE8AA.png,2022-04-15T09:52:00,Tough Name,393248,"[{'name': 'Midnight Codein', 'nft_id': 352775}, {'name': 'Orion ’s Bow', 'nft_id': 25485}]",16,21.62,37,70,107,11.43,7,13,14.95,False
0,Nakamoto,elite,Egyptian Blue,Z6,Mare,https://img.zed.run/horses/1034A6.png,2022-04-15T10:05:06,Ats Us Nai,393260,"[{'name': 'Izar', 'nft_id': 361616}, {'name': 'Cindy Clopper', 'nft_id': 94510}]",17,11.56,147,9,156,0.0,11,12,10.9,False
