,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,0.0,5.56,27.27,0.042252,3.03,1,33,5,3,509225
0,3.85,0.0,27.27,0.001482,3.03,1,33,3,5,116009
0,0.0,0.0,14.81,0.004032,0.0,0,27,1,3,509228
0,18.18,0.0,13.33,0.004032,13.33,2,15,0,0,509229
0,20.0,0.0,16.67,0.02142,16.67,3,18,0,0,509230
0,4.76,2.45,20.3,0.6481212,2.63,7,266,24,23,509250
0,16.22,10.77,36.93,0.3978234,13.28,32,241,33,24,509252
0,0.0,0.0,7.14,0.0,0.0,0,14,0,1,509254
0,8.11,16.0,32.26,0.062343,11.29,7,62,5,8,509257
0,11.8,12.5,27.71,0.52860625,12.05,70,581,52,39,116046
0,13.16,0.0,23.08,0.030828,12.82,5,39,3,1,509272
0,8.25,0.0,24.74,0.007725,8.25,8,97,11,5,509273
0,0.0,0.0,10.0,0.0218708,0.0,0,30,2,1,509282
0,8.33,0.0,22.22,0.01854,8.15,11,135,12,7,509283
0,0.0,0.0,26.67,0.0,0.0,0,15,3,1,509284
0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,509285
0,17.65,2.56,24.66,0.0806544,9.59,7,73,8,3,509286
0,0.0,7.61,28.57,0.3550248,6.25,7,112,11,14,509287
0,0.0,0.0,40.0,0.00834,0.0,0,15,4,2,116078
0,10.2,0.0,23.44,0.0757512,9.83,52,529,52,20,378223
0,0.0,0.0,25.81,0.0078,0.0,0,31,3,5,509296
0,4.35,0.0,13.86,0.001275,3.96,4,101,3,7,378224
0,14.99,14.31,30.66,4.64194333,14.64,318,2172,200,148,116082
0,5.88,0.0,42.11,0.0162098,5.26,2,38,9,5,509300
0,3.23,0.0,12.9,0.0,3.23,1,31,3,0,509301
0,3.13,0.0,19.59,0.003165,3.09,3,97,5,11,378231
0,4.02,0.0,24.78,0.11087,3.88,13,335,23,47,378234
0,16.0,0.0,27.59,0.00408,13.79,4,29,1,3,509314
0,7.41,12.82,25.81,0.062436,9.68,9,93,9,6,509317
0,17.07,21.1,29.84,0.507768,19.37,37,191,10,10,509318
0,6.45,0.0,27.78,0.06809,6.17,10,162,14,21,378246
0,13.11,8.51,29.13,0.17029,12.17,28,230,19,20,378247
0,10.0,11.11,29.9,0.13758243,10.31,20,194,18,20,378250
0,13.11,0.0,27.42,0.0,12.9,16,124,9,9,509325
0,18.75,0.0,43.75,0.02004,18.75,3,16,4,0,509326
0,3.25,16.0,22.97,0.056148,5.41,8,148,8,18,509327
