,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,1.35,0.0,20.0,0.001785,1.33,1,75,5,9,393229
0,4.58,0.0,25.19,0.00358,4.58,6,131,15,12,393233
0,7.69,0.0,30.77,0.0043,7.69,5,65,7,8,131092
0,7.87,8.33,23.84,0.03519,7.95,12,151,9,15,131093
0,0.0,0.0,9.09,0.000255,0.0,0,11,0,1,393237
0,18.61,8.2,39.37,4.7864384,12.41,226,1821,254,237,27
0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,131100
0,0.0,0.0,7.69,0.0,0.0,0,13,1,0,131102
0,12.77,0.0,20.42,0.0,12.68,18,142,8,3,131104
0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,131105
0,21.62,11.43,33.64,0.127558,14.95,16,107,7,13,393248
0,11.56,0.0,25.64,0.008125,10.9,17,156,11,12,393260
0,1.32,5.0,20.38,0.0362646,2.37,5,211,17,21,131127
0,10.8,10.98,23.88,0.629551,10.89,156,1432,99,87,131128
0,5.81,0.0,27.01,0.026163,5.47,15,274,19,40,393271
0,0.0,0.0,17.02,0.0,0.0,0,47,2,6,393279
0,1.69,0.0,21.0,0.00426,1.67,5,300,21,37,393280
0,7.9,3.57,29.39,0.14547626,7.2,25,347,40,37,393281
0,4.07,0.0,12.96,0.00408,3.99,12,301,10,17,393282
0,5.45,0.0,23.64,0.001445,5.45,3,55,4,6,393284
0,16.67,0.0,57.89,0.03984,13.16,5,38,5,12,68
0,5.05,0.0,22.33,0.00119,4.85,5,103,13,5,393288
0,23.53,0.0,55.0,0.0024,20.0,4,20,5,2,75
0,7.24,10.39,28.88,0.14946,7.9,29,367,37,40,131156
0,8.89,0.0,17.5,0.048875,6.67,8,120,6,7,393302
0,9.53,0.0,23.3,0.054549,9.16,90,983,66,73,393303
0,26.32,0.0,56.52,0.00972,21.74,5,23,3,5,89
0,14.4,7.69,26.09,0.0114102,13.77,19,138,8,9,393305
0,9.88,13.04,38.04,0.160059,10.14,28,276,37,40,92
0,10.71,0.0,16.67,0.00522,10.0,3,30,2,0,393315
0,3.41,0.0,20.58,0.035719,3.15,13,413,25,47,131172
0,11.99,5.15,34.26,0.56256275,10.38,60,578,65,73,106
0,4.55,0.0,27.94,0.0025,4.41,3,68,7,9,393323
0,1.35,0.0,5.41,0.0,1.35,1,74,1,2,131183
0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,393329
0,4.76,0.0,22.73,0.0,4.55,1,22,2,2,393330
0,7.59,0.0,37.5,0.013405,7.5,6,80,12,12,131187
0,10.2,8.2,25.49,0.06533425,9.94,46,463,41,31,393332
0,6.24,7.69,25.75,0.20575,6.44,43,668,65,64,393333
0,12.5,0.0,28.76,0.019455,11.11,17,153,13,14,393335
0,4.4,0.0,25.68,0.005335,4.37,8,183,19,20,393336
0,9.92,4.88,27.57,0.2777538,8.64,42,486,48,44,131193
0,9.16,0.0,23.1,0.0105834,8.85,36,407,30,28,393341
0,23.08,0.0,73.33,0.0108,20.0,3,15,4,4,127
0,5.0,0.0,31.03,0.00573,4.6,4,87,9,14,131199
0,5.95,0.0,28.41,0.01146,5.68,5,88,13,7,393347
0,20.74,10.65,38.41,10.51367008,13.55,318,2346,311,272,131
0,4.84,0.0,19.58,0.00883,4.76,9,189,15,13,393354
0,13.43,0.0,40.3,0.002585,13.43,9,67,10,8,393355
0,7.25,10.2,24.55,0.053256,8.98,15,167,15,11,131214
0,11.99,8.61,26.17,0.361505,10.67,73,684,58,48,393368
0,14.29,0.0,28.74,0.01171825,13.79,12,87,7,6,393372
0,0.0,0.0,5.26,0.001965,0.0,0,19,0,1,393373
0,4.29,0.0,18.81,0.012216,3.76,12,319,20,28,131228
0,18.62,10.57,44.07,1.14918519,16.17,131,810,123,103,169
0,0.0,0.0,25.76,0.00685,0.0,0,66,10,7,393385
0,9.52,0.0,13.64,0.00198,9.09,2,22,0,1,393395
0,10.53,0.0,29.85,0.001845,10.45,14,134,13,13,393398
0,20.97,7.89,35.0,0.038172,16.0,16,100,8,11,131259
0,14.87,10.08,29.68,0.2538466,13.98,97,694,53,56,131267
0,20.93,0.0,32.61,0.00436,19.57,9,46,3,3,393415
0,2.12,0.0,21.58,0.00889,2.11,4,190,19,18,393427
0,10.37,3.03,24.38,0.020055,9.7,35,361,24,29,393428
0,3.86,0.0,22.75,0.002325,3.79,8,211,15,25,393440
0,0.0,0.0,10.0,0.000425,0.0,0,10,1,0,393441
0,3.96,0.0,19.8,0.00057,3.96,4,101,6,10,393442
0,0.0,0.0,13.33,0.003375,0.0,0,15,0,2,393443
0,0.0,0.0,10.71,0.0,0.0,0,56,1,5,393444
0,4.03,11.11,28.48,0.021415,4.43,7,158,18,20,131301
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,393446
0,3.6,0.0,23.3,0.0773234,3.57,21,588,50,66,393445
0,5.26,0.0,21.14,0.0156612,5.14,9,175,14,14,236
0,5.21,0.0,22.31,0.01437,4.99,19,381,30,36,131310
0,0.0,0.0,12.5,0.000495,0.0,0,24,0,3,393454
0,5.8,0.0,28.1,0.088188,5.23,16,306,36,34,393456
0,10.41,9.25,27.75,0.8547054,9.97,106,1063,89,100,393458
0,10.65,7.5,25.4,0.30251375,10.32,39,378,35,22,393459
0,3.66,0.0,26.37,0.007328,3.3,3,91,9,12,393460
0,14.16,5.0,42.11,0.0329725,12.78,17,133,21,18,243
0,2.51,8.33,20.96,0.042156,2.75,8,291,21,32,393463
0,20.97,7.68,43.05,5.47391951,14.25,334,2344,375,300,252
0,7.94,0.0,26.56,0.006535,7.81,5,64,7,5,131325
0,12.06,0.0,37.33,0.025332,11.33,17,150,23,16,254
0,15.09,14.29,35.43,0.08019,14.96,19,127,16,10,131328
