,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,6.25,0.0,24.59,0.015858,4.92,3,61,7,5,455923
0,5.91,0.0,20.94,0.000825,5.91,24,406,33,28,193780
0,7.22,0.0,21.78,0.0,7.22,61,845,62,61,193782
0,12.1,9.71,24.14,0.141314,11.42,70,613,45,33,62710
0,5.56,0.0,22.22,0.0,5.56,1,18,2,1,455929
0,5.11,0.0,21.77,0.002795,5.11,19,372,22,40,193785
0,11.11,0.0,18.57,0.02206365,8.57,6,70,3,4,455933
0,8.58,5.66,26.06,0.0653264,8.22,35,426,43,33,62724
0,0.0,0.0,0.0,0.0,0.0,0,40,0,0,193797
0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,324871
0,3.89,0.0,13.98,0.0339312,3.74,19,508,22,30,455945
0,2.7,0.0,10.81,0.00057,2.7,1,37,0,3,193805
0,4.0,0.0,17.33,0.00057,4.0,3,75,1,9,193806
0,11.45,0.0,23.08,0.01586115,10.49,15,143,8,10,193808
0,1.03,0.0,18.37,0.00377,1.02,1,98,4,13,193809
0,10.42,11.98,34.29,2.7697744,11.35,95,837,95,97,455955
0,6.52,7.14,25.33,0.17342,6.67,20,300,26,30,455957
0,2.7,4.76,27.59,0.03188,3.45,2,58,8,6,455959
0,11.63,5.26,29.57,0.1033324,9.68,18,186,20,17,455960
0,0.0,0.0,20.83,0.00312,0.0,0,24,2,3,455961
0,7.45,6.56,25.73,0.210487,7.32,60,820,72,79,62748
0,4.38,0.0,18.93,0.003325,4.14,7,169,9,16,193825
0,17.54,12.82,33.84,1.061745,15.08,90,597,52,60,455970
0,12.15,0.0,37.72,0.02862,11.4,13,114,10,20,455974
0,6.12,1.28,20.44,0.10302,4.44,10,225,17,19,455975
0,8.5,9.93,32.76,0.4817236,9.12,32,351,41,42,455976
0,0.0,0.0,0.0,0.0,0.0,0,27,0,0,193833
0,12.89,7.38,26.59,0.196828,12.16,113,929,79,55,62758
0,7.19,2.44,28.67,0.23863933,5.83,25,429,47,51,455979
0,18.75,0.0,38.27,0.0,18.52,15,81,8,8,455982
0,10.28,0.0,29.46,0.0,9.82,11,112,11,11,455983
0,12.94,21.6,33.9,0.1196376,16.61,49,295,30,21,193841
0,9.41,7.07,27.96,0.41945665,8.97,94,1048,97,102,193845
0,13.66,0.0,27.27,0.008722,13.37,25,187,11,15,455989
0,4.35,5.0,25.58,0.2600316,4.65,12,258,21,33,455990
0,7.37,11.76,28.57,0.02719773,8.04,9,112,13,10,455991
0,0.0,0.0,9.23,0.0090355,0.0,0,65,4,2,455995
0,0.0,0.0,13.16,0.0,0.0,0,38,4,1,455999
0,11.52,16.44,29.45,1.3882445,14.59,104,713,48,58,456000
0,7.81,0.0,25.55,0.0849822,6.61,15,227,26,17,456001
0,5.56,2.7,24.77,0.065017,4.59,5,109,11,11,456002
0,3.02,0.0,25.52,0.00792,2.93,7,239,22,32,456004
0,5.81,0.0,16.88,0.00072,5.63,9,160,8,10,456005
0,6.12,0.0,16.36,0.0046074,5.45,3,55,1,5,193862
0,2.38,0.0,12.77,0.00168,2.13,1,47,1,4,456006
0,0.0,0.0,7.69,0.0,0.0,0,13,1,0,456014
0,8.62,8.33,37.14,0.019455,8.57,6,70,12,8,456015
0,10.37,3.03,23.19,0.066257,7.6,20,263,20,21,62804
0,8.57,0.0,27.39,0.025563,5.73,9,157,13,21,62808
0,0.0,0.0,16.67,0.00431235,0.0,0,36,2,4,456027
0,5.56,0.0,23.61,0.0,5.56,12,216,22,17,456028
0,9.09,0.0,16.67,0.0,8.33,4,48,4,0,456029
0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,456030
0,0.0,0.0,7.69,0.00228,0.0,0,13,0,1,456032
0,12.22,10.51,27.96,0.6072428,11.33,64,565,48,46,62816
0,0.0,0.0,0.0,0.0,0.0,0,17,0,0,456035
0,6.45,0.0,38.71,0.0,6.45,2,31,7,3,456038
0,4.0,20.0,13.33,0.00576,6.67,2,30,1,1,456039
0,7.69,2.02,24.87,0.0652416,6.28,25,398,28,46,193901
0,5.88,8.84,28.71,0.449488,7.89,25,317,32,34,193903
0,5.57,3.41,20.53,0.20226965,5.07,19,375,31,27,193904
0,5.26,0.0,17.54,0.0,5.26,3,57,4,3,456049
0,17.43,12.23,29.57,0.4726245,15.8,70,443,37,24,193905
0,12.05,5.0,35.66,0.1993434,9.09,13,143,18,20,456053
0,3.02,0.0,23.61,0.0184878,2.89,12,415,24,62,193914
0,14.48,13.28,27.75,1.1765874,13.96,166,1189,96,68,324990
0,4.55,0.0,18.18,0.0,4.55,1,22,2,1,456066
0,0.0,0.0,8.33,0.0,0.0,0,12,0,1,456069
0,24.4,17.26,44.91,1.24389056,22.98,262,1140,149,101,62856
0,5.74,0.0,22.27,0.0165,5.45,12,220,27,10,193934
0,8.33,0.0,21.67,0.0,8.33,5,60,5,3,193937
0,11.0,9.83,25.69,0.305129,10.69,97,907,77,59,62866
0,9.8,10.14,23.55,0.122086,9.84,107,1087,86,63,62870
0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,456097
0,12.07,12.44,26.07,0.387936,12.32,69,560,56,21,62883
0,1.62,0.0,11.05,0.0,1.58,3,190,7,11,193969
0,8.47,0.0,31.82,0.00156,7.58,5,66,10,6,456114
0,0.0,0.0,17.65,0.002484,0.0,0,51,6,3,193972
0,0.0,0.0,7.69,0.00187,0.0,0,26,1,1,456117
0,13.2,9.88,29.08,0.0643242,12.76,79,619,55,46,193977
0,2.86,0.0,20.0,0.00384,2.5,1,40,3,4,62908
0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,193984
0,9.63,0.0,21.38,0.00321,8.97,13,145,8,10,193987
0,3.3,0.0,14.23,0.0,3.28,9,274,13,17,193988
0,10.87,4.41,25.17,0.081312,9.4,28,298,29,18,62917
0,13.14,10.67,27.3,0.3176306,12.65,95,751,63,47,193993
0,11.81,0.0,26.51,0.025364,11.24,28,249,23,15,194005
0,2.08,0.0,16.36,0.00588,1.82,1,55,7,1,194006
0,4.32,0.0,20.07,0.0029,4.3,12,279,20,24,194018
0,19.63,14.32,32.8,2.2074863,15.97,110,689,68,48,456184
0,10.8,0.0,20.34,0.0,10.73,19,177,8,9,194040
0,16.67,20.0,35.63,0.18162885,18.39,16,87,9,6,456186
0,10.0,5.26,37.29,0.127569,8.47,5,59,11,6,456187
0,2.63,0.0,27.66,0.00515,2.13,1,47,6,6,456188
0,12.12,0.0,33.33,0.007255,11.35,16,141,20,11,194045
0,8.74,12.58,29.33,1.4497865,10.38,114,1098,112,96,194046
0,6.62,0.0,20.44,0.000495,6.57,9,137,11,8,194048
0,1.38,0.0,13.7,0.003705,1.37,3,219,11,16,194049
0,8.33,0.0,25.0,0.003345,8.33,1,12,0,2,194056
0,0.0,0.0,25.0,0.000555,0.0,0,4,0,1,194059
