,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,1.9,11.54,25.19,0.052315,3.82,5,131,14,14,32107
0,10.81,0.0,23.64,0.025608,7.27,4,55,3,6,425327
0,6.82,0.0,32.69,0.0,5.77,3,52,6,8,425326
0,9.63,5.79,22.27,0.20629,7.81,20,256,22,15,425328
0,3.82,3.98,23.74,0.4292216,3.86,33,855,68,102,425331
0,15.26,15.64,31.55,0.81436305,15.46,98,634,68,34,32115
0,2.54,0.0,21.19,0.0,2.54,3,118,13,9,163188
0,4.11,0.0,24.16,0.00374,4.03,6,149,13,17,163190
0,0.0,0.0,24.24,0.00378,0.0,0,33,2,6,425340
0,19.08,17.46,38.43,1.4625438,17.8,113,635,64,67,163201
0,12.14,4.0,26.17,0.043285,10.55,27,256,16,24,425351
0,5.35,7.76,27.39,1.59269835,6.33,86,1358,139,147,425356
0,5.0,0.0,30.0,0.0,5.0,1,20,3,2,425365
0,13.49,0.0,28.67,0.099842,11.89,17,143,14,10,425370
0,6.05,0.0,26.07,0.160954,5.92,25,422,47,38,425375
0,7.83,0.0,30.33,0.00624,7.38,9,122,11,17,163233
0,7.16,0.0,25.61,0.0084,7.07,29,410,44,32,425378
0,7.59,8.22,25.97,0.0585,7.79,18,231,24,18,163234
0,1.18,8.33,15.46,0.00612,2.06,2,97,6,7,163236
0,0.0,0.0,11.43,0.0,0.0,0,70,3,5,425380
0,4.35,15.79,24.62,0.017235,7.69,5,65,8,3,163235
0,12.06,3.33,27.95,0.01764,10.92,25,229,22,17,163238
0,11.11,0.0,31.58,0.023916,10.53,6,57,5,7,425387
0,2.6,0.0,23.38,0.0,2.6,2,77,6,10,425391
0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,425397
0,8.39,1.47,30.23,0.177397,7.06,25,354,48,34,425400
0,5.34,4.92,25.81,0.0584823,5.28,26,492,51,50,163257
0,8.16,0.0,19.05,0.0,7.62,8,105,6,6,425402
0,11.76,0.0,30.25,0.0,11.76,14,119,9,13,425407
0,20.0,0.0,34.78,0.010455,13.04,3,23,1,4,425410
0,13.03,0.0,29.63,0.00187,12.59,34,270,25,21,163268
0,5.97,0.0,22.96,0.0,5.93,8,135,7,16,425415
0,3.57,0.0,17.86,0.0,3.57,1,28,2,2,425416
0,5.13,0.0,18.82,0.0057552,4.71,12,255,20,16,163273
0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,425430
0,11.11,0.0,23.33,0.00204,10.0,6,60,1,7,163290
0,14.81,18.18,40.0,0.0209484,15.38,10,65,10,6,163291
0,6.0,0.0,28.07,0.0,5.26,3,57,9,4,163294
0,8.33,0.0,28.57,0.008088,4.76,1,21,3,2,425446
0,3.72,0.0,8.95,0.0,3.68,7,190,3,7,32233
0,4.44,0.0,24.0,0.00162,4.0,2,50,3,7,163309
0,6.25,0.0,11.11,0.001344,5.56,2,36,2,0,425456
0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,425463
